Date,Open,High,Low,Close
03/02/2007,"1,387.17","1,403.40","1,386.87","1,387.17"
03/01/2007,"1,403.17","1,409.46","1,380.87","1,403.17"
02/28/2007,"1,406.82","1,415.89","1,396.65","1,406.82"
02/27/2007,"1,399.04","1,449.25","1,389.42","1,399.04"
02/26/2007,"1,449.37","1,456.95","1,445.48","1,449.37"
02/23/2007,"1,451.19","1,456.22","1,448.36","1,451.19"
02/22/2007,"1,456.38","1,461.57","1,450.51","1,456.38"
02/21/2007,"1,457.63","1,459.60","1,452.02","1,457.63"
02/20/2007,"1,459.68","1,460.53","1,449.20","1,459.68"
02/16/2007,"1,455.54","1,456.77","1,451.57","1,455.54"
02/15/2007,"1,456.81","1,457.97","1,453.19","1,456.81"
02/14/2007,"1,455.30","1,457.65","1,443.91","1,455.30"
02/13/2007,"1,444.26","1,444.41","1,433.22","1,444.26"
02/12/2007,"1,433.37","1,439.11","1,431.44","1,433.37"
02/09/2007,"1,438.06","1,452.45","1,433.44","1,438.06"
02/08/2007,"1,448.31","1,450.45","1,442.81","1,448.31"
02/07/2007,"1,450.02","1,452.99","1,446.44","1,450.02"
02/06/2007,"1,448.00","1,450.19","1,443.40","1,448.00"
02/05/2007,"1,446.99","1,449.38","1,443.85","1,446.99"
02/02/2007,"1,448.39","1,449.33","1,444.49","1,448.39"
02/01/2007,"1,445.94","1,446.64","1,437.90","1,445.94"
01/31/2007,"1,438.24","1,441.61","1,424.78","1,438.24"
01/30/2007,"1,428.82","1,428.82","1,420.61","1,428.82"
01/29/2007,"1,420.62","1,426.94","1,418.46","1,420.62"
01/26/2007,"1,422.18","1,427.27","1,416.96","1,422.18"
01/25/2007,"1,423.90","1,440.69","1,422.34","1,423.90"
01/24/2007,"1,440.13","1,440.14","1,427.96","1,440.13"
01/23/2007,"1,427.99","1,431.33","1,421.66","1,427.99"
01/22/2007,"1,422.96","1,431.39","1,420.40","1,422.96"
01/19/2007,"1,430.50","1,431.57","1,425.19","1,430.50"
01/18/2007,"1,426.37","1,433.30","1,424.21","1,426.37"
01/17/2007,"1,430.62","1,435.27","1,428.57","1,430.62"
01/16/2007,"1,431.90","1,433.93","1,428.62","1,431.90"
01/12/2007,"1,430.73","1,431.23","1,422.58","1,430.73"
01/11/2007,"1,423.83","1,427.12","1,414.84","1,423.83"
01/10/2007,"1,414.85","1,415.99","1,404.33","1,414.85"
01/09/2007,"1,412.11","1,415.61","1,405.42","1,412.11"
01/08/2007,"1,412.84","1,414.98","1,403.97","1,412.84"
01/05/2007,"1,409.71","1,418.34","1,405.75","1,409.71"
01/04/2007,"1,418.34","1,421.84","1,408.22","1,418.34"
01/03/2007,"1,416.60","1,429.42","1,407.86","1,416.60"
12/29/2006,"1,418.30","1,427.00","1,416.72","1,418.30"
12/28/2006,"1,424.73","1,427.26","1,422.05","1,424.73"
12/27/2006,"1,426.84","1,427.72","1,416.63","1,426.84"
12/26/2006,"1,416.90","1,417.91","1,410.45","1,416.90"
12/22/2006,"1,410.76","1,418.82","1,410.28","1,410.76"
12/21/2006,"1,418.30","1,426.40","1,415.90","1,418.30"
12/20/2006,"1,423.53","1,429.05","1,423.51","1,423.53"
12/19/2006,"1,425.55","1,428.30","1,414.88","1,425.55"
12/18/2006,"1,422.48","1,431.81","1,420.65","1,422.48"
12/15/2006,"1,427.09","1,431.63","1,425.48","1,427.09"
12/14/2006,"1,425.49","1,427.23","1,413.16","1,425.49"
12/13/2006,"1,413.21","1,416.64","1,411.05","1,413.21"
12/12/2006,"1,411.56","1,413.78","1,404.75","1,411.56"
12/11/2006,"1,413.04","1,415.60","1,408.56","1,413.04"
12/08/2006,"1,409.84","1,414.09","1,403.67","1,409.84"
12/07/2006,"1,407.29","1,418.27","1,406.80","1,407.29"
12/06/2006,"1,412.90","1,415.93","1,411.05","1,412.90"
12/05/2006,"1,414.76","1,415.27","1,408.78","1,414.76"
12/04/2006,"1,409.12","1,411.23","1,396.67","1,409.12"
12/01/2006,"1,396.71","1,402.46","1,385.93","1,396.71"
11/30/2006,"1,400.63","1,406.30","1,393.83","1,400.63"
11/29/2006,"1,399.48","1,401.14","1,386.11","1,399.48"
11/28/2006,"1,386.72","1,387.91","1,377.83","1,386.72"
11/27/2006,"1,381.90","1,400.95","1,381.44","1,381.90"
11/24/2006,"1,400.95","1,405.94","1,399.25","1,400.95"
11/22/2006,"1,406.09","1,407.89","1,402.26","1,406.09"
11/21/2006,"1,402.81","1,403.49","1,399.99","1,402.81"
11/20/2006,"1,400.50","1,404.37","1,397.85","1,400.50"
11/17/2006,"1,401.20","1,401.21","1,394.55","1,401.20"
11/16/2006,"1,399.76","1,403.76","1,396.53","1,399.76"
11/15/2006,"1,396.57","1,401.35","1,392.13","1,396.57"
11/14/2006,"1,393.22","1,394.49","1,379.07","1,393.22"
11/13/2006,"1,384.42","1,387.61","1,378.80","1,384.42"
11/10/2006,"1,380.90","1,381.04","1,375.60","1,380.90"
11/09/2006,"1,378.33","1,388.92","1,377.31","1,378.33"
11/08/2006,"1,385.72","1,388.61","1,376.29","1,385.72"
11/07/2006,"1,382.84","1,388.19","1,379.19","1,382.84"
11/06/2006,"1,379.78","1,381.40","1,364.27","1,379.78"
11/03/2006,"1,364.30","1,371.68","1,360.98","1,364.30"
11/02/2006,"1,367.34","1,368.39","1,362.21","1,367.34"
11/01/2006,"1,367.81","1,381.95","1,366.26","1,367.81"
10/31/2006,"1,377.94","1,381.21","1,372.19","1,377.94"
10/30/2006,"1,377.93","1,381.22","1,373.46","1,377.93"
10/27/2006,"1,377.34","1,388.89","1,375.85","1,377.34"
10/26/2006,"1,389.08","1,389.45","1,379.47","1,389.08"
10/25/2006,"1,382.22","1,383.61","1,376.00","1,382.22"
10/24/2006,"1,377.38","1,377.78","1,372.42","1,377.38"
10/23/2006,"1,377.02","1,377.40","1,363.94","1,377.02"
10/20/2006,"1,368.60","1,368.66","1,362.10","1,368.60"
10/19/2006,"1,366.96","1,368.09","1,362.06","1,366.96"
10/18/2006,"1,365.96","1,372.87","1,360.95","1,365.96"
10/17/2006,"1,364.05","1,369.05","1,356.87","1,364.05"
10/16/2006,"1,369.05","1,370.20","1,364.48","1,369.05"
10/13/2006,"1,365.62","1,366.63","1,360.50","1,365.62"
10/12/2006,"1,362.83","1,363.76","1,349.94","1,362.83"
10/11/2006,"1,349.95","1,353.97","1,343.57","1,349.95"
10/10/2006,"1,353.42","1,354.23","1,348.60","1,353.42"
10/09/2006,"1,350.66","1,352.69","1,346.55","1,350.66"
10/06/2006,"1,349.58","1,353.22","1,344.21","1,349.58"
10/05/2006,"1,353.22","1,353.79","1,347.75","1,353.22"
10/04/2006,"1,350.22","1,350.22","1,331.48","1,350.22"
10/03/2006,"1,334.11","1,338.31","1,327.10","1,334.11"
10/02/2006,"1,331.32","1,338.54","1,330.28","1,331.32"
09/29/2006,"1,335.85","1,339.88","1,335.64","1,335.85"
09/28/2006,"1,339.15","1,340.28","1,333.75","1,339.15"
09/27/2006,"1,336.59","1,340.08","1,333.54","1,336.59"
09/26/2006,"1,336.34","1,336.60","1,325.30","1,336.34"
09/25/2006,"1,326.37","1,329.35","1,311.58","1,326.37"
09/22/2006,"1,314.78","1,318.03","1,310.94","1,314.78"
09/21/2006,"1,318.03","1,328.19","1,315.45","1,318.03"
09/20/2006,"1,325.18","1,328.53","1,318.28","1,325.18"
09/19/2006,"1,318.31","1,322.04","1,312.17","1,318.31"
09/18/2006,"1,321.18","1,324.87","1,318.16","1,321.18"
09/15/2006,"1,319.87","1,324.65","1,316.28","1,319.87"
09/14/2006,"1,316.28","1,318.00","1,313.25","1,316.28"
09/13/2006,"1,318.07","1,319.92","1,311.12","1,318.07"
09/12/2006,"1,313.11","1,314.28","1,299.53","1,313.11"
09/11/2006,"1,299.54","1,302.36","1,290.93","1,299.54"
09/08/2006,"1,298.92","1,300.14","1,294.02","1,298.92"
09/07/2006,"1,294.02","1,301.25","1,292.13","1,294.02"
09/06/2006,"1,300.26","1,313.04","1,299.28","1,300.26"
09/05/2006,"1,313.25","1,314.67","1,308.82","1,313.25"
09/01/2006,"1,311.01","1,312.03","1,303.80","1,311.01"
08/31/2006,"1,303.82","1,306.11","1,302.45","1,303.82"
08/30/2006,"1,304.27","1,306.74","1,302.15","1,304.27"
08/29/2006,"1,304.28","1,305.02","1,295.29","1,304.28"
08/28/2006,"1,301.78","1,305.02","1,293.97","1,301.78"
08/25/2006,"1,295.09","1,298.88","1,292.39","1,295.09"
08/24/2006,"1,296.06","1,297.23","1,291.40","1,296.06"
08/23/2006,"1,292.99","1,301.50","1,289.49","1,292.99"
08/22/2006,"1,298.82","1,302.49","1,294.44","1,298.82"
08/21/2006,"1,297.52","1,302.30","1,295.51","1,297.52"
08/18/2006,"1,302.30","1,302.30","1,293.57","1,302.30"
08/17/2006,"1,297.48","1,300.78","1,292.71","1,297.48"
08/16/2006,"1,295.43","1,296.21","1,285.27","1,295.43"
08/15/2006,"1,285.58","1,286.23","1,268.19","1,285.58"
08/14/2006,"1,268.21","1,278.90","1,266.67","1,268.21"
08/11/2006,"1,266.74","1,271.64","1,262.08","1,266.74"
08/10/2006,"1,271.81","1,272.55","1,261.30","1,271.81"
08/09/2006,"1,265.95","1,283.74","1,264.73","1,265.95"
08/08/2006,"1,271.48","1,282.75","1,268.37","1,271.48"
08/07/2006,"1,275.77","1,279.31","1,273.00","1,275.77"
08/04/2006,"1,279.36","1,292.92","1,273.82","1,279.36"
08/03/2006,"1,280.27","1,283.96","1,271.25","1,280.27"
08/02/2006,"1,278.55","1,283.42","1,270.73","1,278.55"
08/01/2006,"1,270.92","1,276.66","1,265.71","1,270.92"
07/31/2006,"1,276.66","1,278.66","1,274.31","1,276.66"
